source_id,inventory_level,source_path,source_sha,classification,status,evidence
DevToolsPage,view-source,src/Files.App/Views/Settings/DevToolsPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Settings/DevToolsPage.xaml
FoldersPage,view-source,src/Files.App/Views/Settings/FoldersPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Settings/FoldersPage.xaml
GeneralPage,view-source,src/Files.App/Views/Settings/GeneralPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Settings/GeneralPage.xaml
LayoutPage,view-source,src/Files.App/Views/Settings/LayoutPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Settings/LayoutPage.xaml
SettingsPage,view-source,src/Files.App/Views/Settings/SettingsPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Settings/SettingsPage.xaml
TagsPage,view-source,src/Files.App/Views/Settings/TagsPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Settings/TagsPage.xaml
ToolbarCustomizationPage,view-source,src/Files.App/Views/Settings/ToolbarCustomizationPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Settings/ToolbarCustomizationPage.xaml
ShellPanesPage,view-source,src/Files.App/Views/ShellPanesPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/ShellPanesPage.xaml
ColumnShellPage,view-source,src/Files.App/Views/Shells/ColumnShellPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Shells/ColumnShellPage.xaml
ModernShellPage,view-source,src/Files.App/Views/Shells/ModernShellPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Shells/ModernShellPage.xaml
SplashScreenPage,view-source,src/Files.App/Views/SplashScreenPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/SplashScreenPage.xaml
