source_id,source_path,source_sha,line,mac_command_id,classification,milestone,status,evidence
PlayAll,src/Files.App/Actions/Content/PlayAllAction.cs,99951c66928c4da714da8b1dd46039421182cbab,8,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/PlayAllAction.cs#L8
LaunchPreviewPopup,src/Files.App/Actions/Content/PreviewPopup/LaunchPreviewPopupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/PreviewPopup/LaunchPreviewPopupAction.cs#L6
RefreshItems,src/Files.App/Actions/Content/RefreshItemsAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/RefreshItemsAction.cs#L6
RunAsAdmin,src/Files.App/Actions/Content/Run/RunAsAdminAction.cs,99951c66928c4da714da8b1dd46039421182cbab,8,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Run/RunAsAdminAction.cs#L8
RunAsAnotherUser,src/Files.App/Actions/Content/Run/RunAsAnotherUserAction.cs,99951c66928c4da714da8b1dd46039421182cbab,8,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Run/RunAsAnotherUserAction.cs#L8
RunWithPowershell,src/Files.App/Actions/Content/Run/RunWithPowershellAction.cs,99951c66928c4da714da8b1dd46039421182cbab,8,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Run/RunWithPowershellAction.cs#L8
ClearSelection,src/Files.App/Actions/Content/Selection/ClearSelectionAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Selection/ClearSelectionAction.cs#L6
InvertSelection,src/Files.App/Actions/Content/Selection/InvertSelectionAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Selection/InvertSelectionAction.cs#L6
SelectAll,src/Files.App/Actions/Content/Selection/SelectAllAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Selection/SelectAllAction.cs#L6
ToggleSelect,src/Files.App/Actions/Content/Selection/ToggleSelectAction.cs,99951c66928c4da714da8b1dd46039421182cbab,10,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Selection/ToggleSelectAction.cs#L10
